t,market_price,fair_value,bid,ask,fill,cash,inventory,unrealized_pnl,total_pnl
92,0.7149039282057731,0.6974358974358974,0.6774358974358974,0.7174358974358974,,8.228022572486054,-11,-7.863943210263504,0.36407936222255
93,0.7066927655546014,0.6974358974358974,0.6774358974358974,0.7174358974358974,,8.228022572486054,-11,-7.773620421100615,0.45440215138543927
94,0.7057637630587433,0.6974358974358974,0.6774358974358974,0.7174358974358974,,8.228022572486054,-11,-7.763401393646177,0.4646211788398773
95,0.6727288862266456,0.6974358974358974,0.6774358974358974,0.7174358974358974,buy,7.550586675050157,-10,-6.727288862266456,0.823297812783701
96,0.6461501924668516,0.6799999999999999,0.6599999999999999,0.7,buy,6.890586675050157,-9,-5.815351732201664,1.0752349428484926
97,0.623388690596421,0.6634146341463415,0.6434146341463415,0.6834146341463415,buy,6.247172040903815,-8,-4.987109524771368,1.2600625161324475
98,0.6082743195145703,0.6476190476190476,0.6276190476190476,0.6676190476190477,buy,5.619552993284768,-7,-4.257920236601993,1.3616327566827753
99,0.6218560880733106,0.6325581395348837,0.6125581395348837,0.6525581395348837,,5.619552993284768,-7,-4.352992616513174,1.2665603767715936
100,0.6086537025624439,0.6325581395348837,0.6125581395348837,0.6525581395348837,buy,5.006994853749884,-6,-3.6519222153746633,1.3550726383752205
101,0.6066577663535339,0.6181818181818182,0.5981818181818181,0.6381818181818182,,5.006994853749884,-6,-3.6399465981212034,1.3670482556286805
102,0.6383094439915785,0.6181818181818182,0.5981818181818181,0.6381818181818182,sell,5.6451766719317025,-7,-4.46816610794105,1.1770105639906525
103,0.6352686923707711,0.6266666666666667,0.6066666666666667,0.6466666666666667,,5.6451766719317025,-7,-4.4468808465953975,1.198295825336305
104,0.6542555691215742,0.6266666666666667,0.6066666666666667,0.6466666666666667,sell,6.291843338598369,-8,-5.234044552972594,1.0577987856257751
105,0.638870437065298,0.6347826086956522,0.6147826086956522,0.6547826086956522,,6.291843338598369,-8,-5.110963496522384,1.180879842075985
106,0.6388181640546805,0.6347826086956522,0.6147826086956522,0.6547826086956522,,6.291843338598369,-8,-5.110545312437444,1.181298026160925
107,0.6238768147537348,0.6347826086956522,0.6147826086956522,0.6547826086956522,,6.291843338598369,-8,-4.991014518029878,1.3008288205684906
108,0.6219023124980368,0.6347826086956522,0.6147826086956522,0.6547826086956522,,6.291843338598369,-8,-4.975218499984295,1.3166248386140742
109,0.6436133596222829,0.6347826086956522,0.6147826086956522,0.6547826086956522,,6.291843338598369,-8,-5.1489068769782635,1.1429364616201054
110,0.6128862831773219,0.6347826086956522,0.6147826086956522,0.6547826086956522,buy,5.677060729902717,-7,-4.290203982241253,1.3868567476614642
111,0.6269304418893729,0.6212765957446809,0.6012765957446808,0.6412765957446809,,5.677060729902717,-7,-4.38851309322561,1.288547636677107
112,0.6363386318415498,0.6212765957446809,0.6012765957446808,0.6412765957446809,,5.677060729902717,-7,-4.4543704228908485,1.2226903070118684
113,0.6286387011355364,0.6212765957446809,0.6012765957446808,0.6412765957446809,,5.677060729902717,-7,-4.400470907948755,1.2765898219539622
114,0.6042856089909905,0.6212765957446809,0.6012765957446808,0.6412765957446809,,5.677060729902717,-7,-4.229999262936934,1.447061466965783
115,0.6115139186957184,0.6212765957446809,0.6012765957446808,0.6412765957446809,,5.677060729902717,-7,-4.280597430870029,1.3964632990326882
116,0.6063483685796563,0.6212765957446809,0.6012765957446808,0.6412765957446809,,5.677060729902717,-7,-4.244438580057595,1.4326221498451224
117,0.6166844743777676,0.6212765957446809,0.6012765957446808,0.6412765957446809,,5.677060729902717,-7,-4.3167913206443735,1.3602694092583434
118,0.6222872935693481,0.6212765957446809,0.6012765957446808,0.6412765957446809,,5.677060729902717,-7,-4.356011054985436,1.3210496749172806
119,0.659208506717299,0.6212765957446809,0.6012765957446808,0.6412765957446809,sell,6.318337325647398,-8,-5.273668053738392,1.0446692719090054
120,0.6574609688319736,0.6291666666666667,0.6091666666666666,0.6491666666666667,sell,6.9675039923140645,-9,-5.917148719487762,1.0503552728263026
121,0.6401179705379376,0.636734693877551,0.616734693877551,0.656734693877551,,6.9675039923140645,-9,-5.761061734841439,1.2064422574726255
122,0.647697584710167,0.636734693877551,0.616734693877551,0.656734693877551,,6.9675039923140645,-9,-5.829278262391504,1.1382257299225609
123,0.655712639154094,0.636734693877551,0.616734693877551,0.656734693877551,,6.9675039923140645,-9,-5.901413752386846,1.0660902399272185
124,0.686110758701198,0.636734693877551,0.616734693877551,0.656734693877551,sell,7.624238686191616,-10,-6.86110758701198,0.7631310991796356
125,0.7045074456844297,0.644,0.624,0.664,sell,8.288238686191615,-11,-7.7495819025287265,0.5386567836628888
126,0.7124194945831984,0.6509803921568628,0.6309803921568627,0.6709803921568628,sell,8.959219078348479,-12,-8.54903393499838,0.41018514335009826
127,0.7420645776784297,0.6576923076923078,0.6376923076923078,0.6776923076923078,sell,9.636911386040786,-13,-9.646839509819586,-0.009928123778799147
128,0.7171860877080511,0.6641509433962265,0.6441509433962265,0.6841509433962265,sell,10.321062329437012,-14,-10.040605227912716,0.2804571015242967
129,0.7045317526676537,0.6703703703703704,0.6503703703703704,0.6903703703703704,sell,11.011432699807383,-15,-10.567976290014805,0.44345640979257794
130,0.6867736462061604,0.6763636363636364,0.6563636363636364,0.6963636363636364,,11.011432699807383,-15,-10.301604693092406,0.7098280067149769
131,0.680638767832737,0.6763636363636364,0.6563636363636364,0.6963636363636364,,11.011432699807383,-15,-10.209581517491056,0.8018511823163266
132,0.655073106489974,0.6763636363636364,0.6563636363636364,0.6963636363636364,buy,10.355069063443747,-14,-9.171023490859636,1.184045572584111
133,0.6710224701017633,0.6642857142857144,0.6442857142857144,0.6842857142857144,,10.355069063443747,-14,-9.394314581424686,0.9607544820190608
134,0.6690268926546997,0.6642857142857144,0.6442857142857144,0.6842857142857144,,10.355069063443747,-14,-9.366376497165795,0.9886925662779511
135,0.6421594221319116,0.6642857142857144,0.6442857142857144,0.6842857142857144,buy,9.710783349158032,-13,-8.34807248771485,1.3627108614431815
136,0.6257398694011651,0.6526315789473685,0.6326315789473684,0.6726315789473685,buy,9.078151770210663,-12,-7.508878432813981,1.569273337396682
137,0.6367231528801107,0.6413793103448276,0.6213793103448276,0.6613793103448277,,9.078151770210663,-12,-7.640677834561329,1.4374739356493347
138,0.6576495265939928,0.6413793103448276,0.6213793103448276,0.6613793103448277,,9.078151770210663,-12,-7.891794319127913,1.18635745108275
139,0.7007016680981288,0.6413793103448276,0.6213793103448276,0.6613793103448277,sell,9.73953108055549,-13,-9.109121685275674,0.6304093952798162
140,0.759943834013369,0.6474576271186441,0.6274576271186441,0.6674576271186441,sell,10.406988707674135,-14,-10.639213676187165,-0.2322249685130302
141,0.7662348309782204,0.6533333333333334,0.6333333333333334,0.6733333333333335,sell,11.080322041007468,-15,-11.493522464673307,-0.4132004236658382
142,0.7441323270286722,0.659016393442623,0.639016393442623,0.679016393442623,sell,11.759338434450092,-16,-11.906117232458755,-0.146778798008663
143,0.7002847850626124,0.6645161290322581,0.6445161290322581,0.6845161290322581,sell,12.44385456348235,-17,-11.90484134606441,0.5390132174179403
144,0.7066247750563585,0.6698412698412699,0.6498412698412699,0.6898412698412699,sell,13.133695833323621,-18,-12.719245951014452,0.4144498823091691
145,0.691034714397334,0.675,0.655,0.6950000000000001,,13.133695833323621,-18,-12.438624859152013,0.6950709741716086
146,0.6841758334738736,0.675,0.655,0.6950000000000001,,13.133695833323621,-18,-12.315165002529724,0.8185308307938968
147,0.6737251058189837,0.675,0.655,0.6950000000000001,,13.133695833323621,-18,-12.127051904741707,1.006643928581914
148,0.6732230327997069,0.675,0.655,0.6950000000000001,,13.133695833323621,-18,-12.118014590394724,1.0156812429288973
149,0.6968814857754744,0.675,0.655,0.6950000000000001,sell,13.828695833323621,-19,-13.240748229734013,0.5879476035896083
150,0.7011783828356075,0.68,0.66,0.7000000000000001,sell,14.52869583332362,-20,-14.02356765671215,0.5051281766114712
151,0.6989467669530534,0.6848484848484849,0.6648484848484849,0.704848484848485,,14.52869583332362,-20,-13.978935339061067,0.5497604942625536
152,0.6792863535488844,0.6848484848484849,0.6648484848484849,0.704848484848485,,14.52869583332362,-20,-13.58572707097769,0.9429687623459309
153,0.6478283769773531,0.6848484848484849,0.6648484848484849,0.704848484848485,buy,13.863847348475137,-19,-12.308739162569708,1.5551081859054285
154,0.6417107999470189,0.6746268656716419,0.6546268656716419,0.6946268656716419,buy,13.209220482803495,-18,-11.550794399046339,1.6584260837571563
